TimeGenerated,UserPrincipalName,AppDisplayName,IPAddress,City,Country,ResultType,ResultDescription,DeviceOS,Browser
2026-08-04T19:39:36.000Z,ethan.wells@cloudora.io,SharePoint Online,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-04T19:41:17.000Z,dina.said@cloudora.io,Microsoft Teams,203.0.113.14,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-04T19:45:16.000Z,chloe.price@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-04T19:46:44.000Z,olivia.chen@cloudora.io,Cloudora Admin Portal,203.0.113.21,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-04T19:49:01.000Z,ava.khan@cloudora.io,Microsoft Teams,203.0.113.20,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-04T19:51:08.000Z,daniel.reeve@cloudora.io,Microsoft 365,203.0.113.40,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-04T19:51:37.000Z,liam.turner@cloudora.io,Outlook Web,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-04T19:56:36.000Z,olivia.chen@cloudora.io,Azure Portal,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T07:05:01.000Z,seth.lane@cloudora.io,Azure Portal,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T07:07:07.000Z,liam.turner@cloudora.io,Azure Portal,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-05T07:07:23.000Z,cole.burke@cloudora.io,Microsoft Teams,198.51.100.25,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T07:10:18.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T07:11:13.000Z,emma.hayes@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T07:23:31.000Z,hugo.marsh@cloudora.io,Outlook Web,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T07:23:37.000Z,noah.bishop@cloudora.io,Microsoft 365,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T07:32:45.000Z,chloe.price@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,50126,Invalid username or password,iOS 17,Mobile Safari
2026-08-05T07:35:07.000Z,isla.grant@cloudora.io,Azure Portal,203.0.113.15,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T07:48:04.000Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.40,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T07:48:20.000Z,ava.khan@cloudora.io,Azure Portal,203.0.113.20,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T07:52:19.000Z,mira.shah@cloudora.io,SharePoint Online,203.0.113.18,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T07:53:16.000Z,noah.bishop@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T07:56:29.000Z,finn.gale@cloudora.io,Azure Portal,198.51.100.24,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T07:58:48.000Z,cole.burke@cloudora.io,Outlook Web,198.51.100.25,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T07:59:45.000Z,liam.turner@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-05T08:01:02.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T08:03:56.000Z,jack.morgan@cloudora.io,Microsoft 365,198.51.100.26,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T08:09:58.000Z,cole.burke@cloudora.io,Microsoft Teams,198.51.100.25,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T08:23:19.000Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.19,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T08:25:15.000Z,finn.gale@cloudora.io,Azure Portal,198.51.100.24,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T08:33:48.000Z,sofia.marino@cloudora.io,Microsoft Teams,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T08:36:34.000Z,sofia.marino@cloudora.io,Microsoft 365,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T08:39:45.000Z,chloe.price@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T08:43:39.000Z,daniel.reeve@cloudora.io,Microsoft 365,203.0.113.40,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T08:50:41.000Z,finn.gale@cloudora.io,Azure Portal,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T08:52:56.000Z,sofia.marino@cloudora.io,Cloudora Admin Portal,203.0.113.19,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T08:52:57.000Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T09:00:43.000Z,noah.bishop@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T09:02:07.000Z,liam.turner@cloudora.io,Azure Portal,192.0.2.31,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-05T09:02:35.000Z,liam.turner@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-05T09:04:23.000Z,sofia.marino@cloudora.io,Microsoft 365,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T09:05:05.000Z,olivia.chen@cloudora.io,Cloudora Admin Portal,203.0.113.21,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T09:08:06.000Z,hugo.marsh@cloudora.io,Microsoft Teams,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T09:17:32.000Z,jack.morgan@cloudora.io,Outlook Web,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T09:17:35.000Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T09:21:40.000Z,finn.gale@cloudora.io,Azure Portal,198.51.100.24,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T09:34:04.000Z,sofia.marino@cloudora.io,Microsoft 365,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T09:35:19.000Z,cole.burke@cloudora.io,Azure Portal,198.51.100.25,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T09:39:53.000Z,finn.gale@cloudora.io,Outlook Web,198.51.100.24,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T09:40:28.000Z,olivia.chen@cloudora.io,Cloudora Admin Portal,203.0.113.21,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T09:48:46.000Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T09:51:32.000Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T09:57:04.000Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-05T09:57:31.000Z,chloe.price@cloudora.io,Cloudora Admin Portal,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T10:02:30.000Z,dina.said@cloudora.io,SharePoint Online,203.0.113.14,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T10:14:49.000Z,ava.khan@cloudora.io,Microsoft Teams,203.0.113.20,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T10:17:02.000Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T10:18:36.000Z,jack.morgan@cloudora.io,Microsoft 365,198.51.100.26,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T10:21:50.000Z,liam.turner@cloudora.io,Outlook Web,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T10:31:32.000Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T10:33:05.000Z,emma.hayes@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,50126,Invalid username or password,macOS 14,Safari 17
2026-08-05T10:33:45.000Z,liam.turner@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T10:35:54.000Z,sofia.marino@cloudora.io,Microsoft Teams,203.0.113.19,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T10:50:52.000Z,sofia.marino@cloudora.io,Microsoft 365,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T10:51:17.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T11:05:48.000Z,liam.turner@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-05T11:06:11.000Z,ava.khan@cloudora.io,Outlook Web,203.0.113.20,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T11:06:43.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T11:07:43.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T11:09:31.000Z,mira.shah@cloudora.io,SharePoint Online,203.0.113.18,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T11:12:14.000Z,ava.khan@cloudora.io,SharePoint Online,203.0.113.20,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T11:12:48.000Z,jack.morgan@cloudora.io,SharePoint Online,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T11:22:39.000Z,lucas.ford@cloudora.io,Azure Portal,203.0.113.10,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T11:27:44.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-05T11:29:58.000Z,sofia.marino@cloudora.io,Microsoft Teams,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T11:32:18.000Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T11:33:36.000Z,olivia.chen@cloudora.io,Microsoft Teams,203.0.113.21,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T11:41:46.000Z,liam.turner@cloudora.io,Outlook Web,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T11:44:13.000Z,olivia.chen@cloudora.io,Outlook Web,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T11:48:06.000Z,ava.khan@cloudora.io,Microsoft 365,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T11:49:25.000Z,olivia.chen@cloudora.io,Microsoft 365,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T12:05:51.000Z,sofia.marino@cloudora.io,Cloudora Admin Portal,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T12:05:52.000Z,olivia.chen@cloudora.io,SharePoint Online,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T12:08:56.000Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T12:11:06.000Z,emma.hayes@cloudora.io,SharePoint Online,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T12:12:43.000Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-05T12:32:05.000Z,finn.gale@cloudora.io,SharePoint Online,198.51.100.24,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T12:32:58.000Z,ethan.wells@cloudora.io,Azure Portal,192.0.2.30,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-05T12:33:27.000Z,seth.lane@cloudora.io,Microsoft Teams,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T12:37:48.000Z,noah.bishop@cloudora.io,Cloudora Admin Portal,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T12:40:22.000Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T12:43:50.000Z,liam.turner@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T12:57:00.000Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-05T13:04:42.000Z,dina.said@cloudora.io,Cloudora Admin Portal,203.0.113.14,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T13:07:54.000Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.19,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T13:17:05.000Z,liam.turner@cloudora.io,SharePoint Online,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T13:27:08.000Z,daniel.reeve@cloudora.io,Cloudora Admin Portal,203.0.113.41,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T13:29:54.000Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T13:30:39.000Z,emma.hayes@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T13:34:13.000Z,isla.grant@cloudora.io,Microsoft 365,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T13:50:53.000Z,ava.khan@cloudora.io,Azure Portal,203.0.113.20,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T13:53:28.000Z,olivia.chen@cloudora.io,Microsoft Teams,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T13:53:42.000Z,sofia.marino@cloudora.io,Cloudora Admin Portal,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T13:59:27.000Z,olivia.chen@cloudora.io,Azure Portal,203.0.113.21,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T14:16:20.000Z,daniel.reeve@cloudora.io,Microsoft 365,203.0.113.40,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T14:18:13.000Z,noah.bishop@cloudora.io,Cloudora Admin Portal,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T14:19:28.000Z,jack.morgan@cloudora.io,Outlook Web,198.51.100.26,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T14:20:19.000Z,finn.gale@cloudora.io,Cloudora Admin Portal,198.51.100.24,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T14:22:40.000Z,daniel.reeve@cloudora.io,Microsoft 365,203.0.113.41,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T14:29:23.000Z,ava.khan@cloudora.io,SharePoint Online,203.0.113.20,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T14:31:37.000Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T14:32:29.000Z,jack.morgan@cloudora.io,Azure Portal,198.51.100.26,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T14:40:58.000Z,isla.grant@cloudora.io,Cloudora Admin Portal,203.0.113.15,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T14:46:45.000Z,finn.gale@cloudora.io,SharePoint Online,198.51.100.24,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T14:50:07.000Z,finn.gale@cloudora.io,Outlook Web,198.51.100.24,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T14:54:07.000Z,dina.said@cloudora.io,Microsoft 365,203.0.113.14,London,United Kingdom,50126,Invalid username or password,Windows 11,Edge 126
2026-08-05T14:56:04.000Z,liam.turner@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-05T14:58:43.000Z,mira.shah@cloudora.io,Microsoft Teams,203.0.113.18,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T15:02:07.000Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T15:06:12.000Z,liam.turner@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T15:07:07.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T15:13:44.000Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.40,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T15:14:02.000Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T15:23:19.000Z,jack.morgan@cloudora.io,Cloudora Admin Portal,198.51.100.26,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T15:28:25.000Z,olivia.chen@cloudora.io,Microsoft 365,203.0.113.21,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T15:29:05.000Z,seth.lane@cloudora.io,SharePoint Online,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T15:30:31.000Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T15:45:43.000Z,ethan.wells@cloudora.io,Azure Portal,192.0.2.30,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-05T15:46:33.000Z,seth.lane@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T16:00:22.000Z,liam.turner@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T16:01:21.000Z,ava.khan@cloudora.io,Outlook Web,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T16:05:51.000Z,cole.burke@cloudora.io,Cloudora Admin Portal,198.51.100.25,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T16:06:03.000Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.19,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T16:08:22.000Z,liam.turner@cloudora.io,Microsoft 365,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T16:10:22.000Z,seth.lane@cloudora.io,Azure Portal,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-05T16:14:50.000Z,sofia.marino@cloudora.io,Outlook Web,203.0.113.19,London,United Kingdom,50126,Invalid username or password,Windows 11,Chrome 126
2026-08-05T16:35:15.000Z,noah.bishop@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T16:36:03.000Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T16:37:21.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T16:38:39.000Z,dina.said@cloudora.io,Microsoft Teams,203.0.113.14,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T16:38:49.000Z,noah.bishop@cloudora.io,Microsoft 365,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T16:46:20.000Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.40,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T16:46:46.000Z,olivia.chen@cloudora.io,Azure Portal,203.0.113.21,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T16:48:04.000Z,chloe.price@cloudora.io,Cloudora Admin Portal,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T16:50:23.000Z,noah.bishop@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T16:51:35.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T16:58:26.000Z,emma.hayes@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T17:03:52.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T17:03:55.000Z,cole.burke@cloudora.io,Microsoft 365,198.51.100.25,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T17:09:11.000Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T17:11:47.000Z,finn.gale@cloudora.io,Microsoft Teams,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T17:16:56.000Z,jack.morgan@cloudora.io,Cloudora Admin Portal,198.51.100.26,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T17:28:58.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T17:33:51.000Z,emma.hayes@cloudora.io,Outlook Web,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T17:34:04.000Z,mira.shah@cloudora.io,Cloudora Admin Portal,203.0.113.18,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T17:38:15.000Z,mira.shah@cloudora.io,Outlook Web,203.0.113.18,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T17:45:44.000Z,liam.turner@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-05T17:50:26.000Z,chloe.price@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T18:01:00.000Z,noah.bishop@cloudora.io,Microsoft 365,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T18:03:28.000Z,daniel.reeve@cloudora.io,Azure Portal,203.0.113.40,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T18:10:44.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T18:11:57.000Z,seth.lane@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-05T18:13:17.000Z,jack.morgan@cloudora.io,Outlook Web,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T18:16:57.000Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.41,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T18:20:11.000Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T18:20:33.000Z,hugo.marsh@cloudora.io,Microsoft 365,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T18:28:36.000Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T18:29:15.000Z,isla.grant@cloudora.io,Microsoft 365,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T18:29:43.000Z,isla.grant@cloudora.io,Cloudora Admin Portal,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T18:31:46.000Z,liam.turner@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T18:32:56.000Z,isla.grant@cloudora.io,Azure Portal,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T18:32:58.000Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.40,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-05T18:35:26.000Z,seth.lane@cloudora.io,Microsoft 365,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T18:38:28.000Z,seth.lane@cloudora.io,SharePoint Online,192.0.2.32,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-05T18:46:23.000Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T19:01:47.000Z,liam.turner@cloudora.io,Outlook Web,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-05T19:05:16.000Z,dina.said@cloudora.io,SharePoint Online,203.0.113.14,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T19:06:25.000Z,finn.gale@cloudora.io,Cloudora Admin Portal,198.51.100.24,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T19:14:14.000Z,liam.turner@cloudora.io,Microsoft 365,192.0.2.31,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-05T19:17:32.000Z,olivia.chen@cloudora.io,Microsoft Teams,203.0.113.21,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T19:34:17.000Z,daniel.reeve@cloudora.io,Microsoft 365,203.0.113.41,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T19:37:21.000Z,chloe.price@cloudora.io,Microsoft 365,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-05T19:46:55.000Z,daniel.reeve@cloudora.io,Outlook Web,203.0.113.41,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T19:50:09.000Z,olivia.chen@cloudora.io,Microsoft Teams,203.0.113.21,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-05T19:55:59.000Z,hugo.marsh@cloudora.io,Microsoft Teams,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-05T19:57:57.000Z,hugo.marsh@cloudora.io,Azure Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-05T19:58:31.000Z,ava.khan@cloudora.io,Outlook Web,203.0.113.20,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-06T07:12:25.000Z,ethan.wells@cloudora.io,Microsoft Teams,192.0.2.30,Austin,United States,50126,Invalid username or password,macOS 14,Safari 17
